                                                                                                                                                        |
 2497991305         | AUSTINLOVESBEER | Oh it couldn’t happen one more time! #IraqVol3                                                                                                                           | United States | English        | 6/14/2015 17:05  | 6/14/2015 17:06  |             48 |             41 |     326 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610131076938383360 | http://twitter.com/AustinLovesBeer/statuses/610131076938383360 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | I'm afraid this new Obama affair will lead to a new Iraq war #IraqVol3                                                                                                   | United States | English        | 6/14/2015 17:08  | 6/14/2015 17:10  |             48 |             41 |     328 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610131786924994560 | http://twitter.com/AustinLovesBeer/statuses/610131786924994560 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Obama wants to support Iraqi militants but looks like he wants to participate in some war #IraqVol3                                                                      | United States | English        | 6/14/2015 17:08  | 6/14/2015 17:08  |             48 |             41 |     327 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610131614643961856 | http://twitter.com/AustinLovesBeer/statuses/610131614643961856 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Aren’t 450 troops too much for simple training? #IraqVol3                                                                                                                | United States | English        | 6/14/2015 17:09  | 6/14/2015 17:09  |             48 |             41 |     330 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610131938150612992 | http://twitter.com/AustinLovesBeer/statuses/610131938150612992 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | This war brings money to politicians.This war brings death  to our people. #IraqVol3                                                                                     | United States | English        | 6/14/2015 17:09  | 6/14/2015 17:09  |             48 |             41 |     329 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610131875160543232 | http://twitter.com/AustinLovesBeer/statuses/610131875160543232 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Obama needs this war bc of money. And do we need it? #IraqVol3                                                                                                           | United States | English        | 6/14/2015 17:10  | 6/14/2015 17:10  |             48 |             41 |     331 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132258003922944 | http://twitter.com/AustinLovesBeer/statuses/610132258003922944 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | If we’ll train the Iraqi security forces how to be good at war, won’t they attack us lately? #IraqVol3                                                                   | United States | English        | 6/14/2015 17:11  | 6/14/2015 17:11  |             48 |             41 |     332 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132447142014976 | http://twitter.com/AustinLovesBeer/statuses/610132447142014976 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | #Obama is missing blood! #IraqVol3                                                                                                                                       | United States | English        | 6/14/2015 17:12  | 6/14/2015 17:13  |             48 |             41 |     334 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132825300422657 | http://twitter.com/AustinLovesBeer/statuses/610132825300422657 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | If Obama wants war he can go to Iraq himself #IraqVol3                                                                                                                   | United States | English        | 6/14/2015 17:12  | 6/14/2015 17:12  |             48 |             41 |     333 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132741397565440 | http://twitter.com/AustinLovesBeer/statuses/610132741397565440 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Pressure on Obama to send U.S. troops back to Iraq #IraqVol3                                                                                                             | United States | English        | 6/14/2015 17:13  | 6/14/2015 17:13  |             48 |             41 |     335 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132879889272834 | http://twitter.com/AustinLovesBeer/statuses/610132879889272834 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Poor guys! They gonna send up to 1,500 more soldiers to Iraq! #IraqVol3                                                                                                  | United States | English        | 6/14/2015 17:13  | 6/14/2015 17:13  |             48 |             41 |     336 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 610132959924985856 | http://twitter.com/AustinLovesBeer/statuses/610132959924985856 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | America is a great country and terrorists can’t startle us #TsarnaevsApology                                                                                             | United States | English        | 6/25/2015 20:49  | 6/25/2015 20:50  |             48 |             41 |     337 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 614173716314886144 | http://twitter.com/AustinLovesBeer/statuses/614173716314886144 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | There is not much worse punishment than realizing that you committed horrible crimes. Death penalty is a favor to him #TsarnaevsApology                                  | United States | English        | 6/25/2015 20:51  | 6/25/2015 20:51  |             48 |             41 |     338 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 614174161519292416 | http://twitter.com/AustinLovesBeer/statuses/614174161519292416 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Dzhokhar Tsarnaev deserves death.  #TsarnaevsApology                                                                                                                     | United States | English        | 6/25/2015 20:58  | 6/25/2015 20:58  |             48 |             41 |     342 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 614175866604650496 | http://twitter.com/AustinLovesBeer/statuses/614175866604650496 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | #ImThankfulFor pizza                                                                                                                                                     | United States | English        | 11/26/2015 14:17 | 11/26/2015 14:18 |             41 |             34 |     357 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 669882754763386880 | http://twitter.com/AustinLovesBeer/statuses/669882754763386880 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | #ImThankfulFor the studio version of act like you love me                                                                                                                | United States | English        | 11/26/2015 16:32 | 11/26/2015 16:32 |             41 |             34 |     358 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 669916669209350145 | http://twitter.com/AustinLovesBeer/statuses/669916669209350145 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | #ImThankfulFor BETHANY NOEL MOTA                                                                                                                                         | United States | Arabic         | 11/26/2015 16:49 | 11/26/2015 16:49 |             41 |             34 |     360 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 669920962083553280 | http://twitter.com/AustinLovesBeer/statuses/669920962083553280 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | God bless USA #kochfarms https://t.co/mVwGrMoJdD                                                                                                                         | United States | English        | 11/26/2015 23:18 | 11/26/2015 23:19 |             41 |             34 |     362 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 670018870262939648 | http://twitter.com/AustinLovesBeer/statuses/670018870262939648 | http://www.discusscooking.com/forums/f26/very-bad-thanksgiving-94431.html#post1445350                                                                                                                               |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | Happy Thanksgiving @ORDR Could #USDA check the whole #KochFarms??? I bet they've got a lot of secrets                                                                    | United States | English        | 11/26/2015 23:18 | 11/26/2015 23:18 |             41 |             34 |     361 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 670018859051577346 | http://twitter.com/AustinLovesBeer/statuses/670018859051577346 |                                                                                                                                                                                                                     |                                                                                                                                                                |
 2497991305         | AUSTINLOVESBEER | #DogThanking Unexpected treachery on Thanksgiving. #foodpoisoning #KochFarms #USDA https://t.co/srXqDCLbdS                                                               | United States | English        | 11/26/2015 23:20 | 11/26/2015 23:20 |             41 |             34 |     365 |             | Right        |          0 | RightTroll       |             0 | 2497991305      | 670019378373484544 | http://twitter.com/AustinLovesBeer/statuses/670019378373484544 | https://en.wikipedia.org/wiki/List_of_foodborne_illness_outbreaks_in_the_United_States                                                                                                                              |                                                          
